model_id,specialist_group,_groups,pipeline_tag,params_b,active_params_b,vram_q4_gb,vram_fp16_gb,fits_16gb_vram,fits_32gb_ram,downloads,likes,is_moe,is_gguf,library,tags
lmstudio-community/Qwen2.5-Coder-7B-Instruct-MLX-4bit,code,code,text-generation,7.0,,5.42,15.5,True,True,13921,6,False,False,mlx,"mlx,safetensors,qwen2,code,codeqwen"
unsloth/embeddinggemma-300m-GGUF,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,13864,87,False,True,sentence-transformers,"sentence-transformers,gguf,sentence-similarity,feature-extraction,text-embeddings-inference"
unsloth/Qwen2.5-Coder-7B-Instruct-128K-GGUF,code,code,,7.0,,5.42,15.5,True,True,13821,40,False,True,transformers,"transformers,gguf,qwen2,unsloth,code"
Lajavaness/bilingual-embedding-large,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,13567,27,False,False,sentence-transformers,"sentence-transformers,safetensors,bilingual,feature-extraction,sentence-similarity"
lmstudio-community/Qwen2.5-Coder-32B-GGUF,code,code,text-generation,32.0,,19.42,65.5,False,True,13541,5,False,True,,"gguf,code,qwen,qwen-coder,codeqwen"
mudler/Carnice-Qwen3.6-MoE-35B-A3B-APEX-MTP-GGUF,moe-split,moe-split,,35.0,3.0,21.1,71.5,False,True,13493,21,True,True,,"gguf,quantized,apex,apex-mtp,moe"
AtomicChat/Qwen3-Coder-30B-A3B-GGUF,code,code,text-generation,30.0,3.0,18.3,61.5,False,True,13361,3,True,True,gguf,"gguf,atomic-chat,qwen3,qwen,llama.cpp"
HuggingFaceTB/SmolLM-360M-Instruct,edge-small,edge-small,text-generation,7,,5.42,15.5,True,True,12928,88,False,False,transformers,"transformers,onnx,safetensors,llama,text-generation"
unsloth/Qwen2.5-Coder-7B-bnb-4bit,code,code,text-generation,7.0,,5.42,15.5,True,True,12691,18,False,False,transformers,"transformers,safetensors,qwen2,text-generation,unsloth"
mradermacher/KAT-Coder-V2.5-Dev-i1-GGUF,code,code,,27.5,,16.9,56.5,False,True,12643,11,True,True,transformers,"transformers,gguf,code,agent,agentic-coding"
openbmb/MiniCPM-Embedding,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,12616,255,False,False,transformers,"transformers,safetensors,mteb,sentence-transformers,feature-extraction"
openbmb/MiniCPM-Embedding-Light,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,12610,18,False,False,transformers,"transformers,safetensors,minicpm,feature-extraction,mteb"
pfnet/plamo-embedding-1b,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,12258,48,False,False,transformers,"transformers,safetensors,plamo,feature-extraction,sentence-similarity"
mradermacher/Huihui-Qwen3-Coder-30B-A3B-Instruct-abliterated-GGUF,code,code,,30.0,3.0,18.3,61.5,False,True,12224,5,True,True,transformers,"transformers,gguf,abliterated,uncensored,en"
jinaai/jina-embeddings-v2-base-zh,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,12074,247,False,False,sentence-transformers,"sentence-transformers,pytorch,onnx,safetensors,bert"
unsloth/Qwen3-Coder-30B-A3B-Instruct-1M-GGUF,code,code,text-generation,30.0,3.0,18.3,61.5,False,True,12044,162,True,True,transformers,"transformers,gguf,unsloth,qwen3,qwen"
Jackrong/Qwopus3.5-9B-Coder-GGUF,code,code,image-text-to-text,9.0,,6.54,19.5,True,True,11992,339,False,True,transformers,"transformers,gguf,llama.cpp,image-text-to-text,vision"
jinaai/jina-embeddings-v5-text-small-text-matching,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,11690,12,False,True,llama.cpp,"llama.cpp,onnx,safetensors,gguf,qwen3"
DavidAU/Mistral-MOE-4X7B-Dark-MultiVerse-Uncensored-Enhanced32-24B-gguf,moe-split,moe-split,text-generation,7.0,,5.42,15.5,True,True,11500,149,True,True,,"gguf,mixture of experts,moe,mistral,mixtral"
AlicanKiraz0/Cybersecurity-BaronLLM_Offensive_Security_LLM_Q6_K_GGUF,security,security,text-generation,9.0,,6.54,19.5,True,True,11435,294,False,True,transformers,"transformers,gguf,llama-cpp,gguf-my-repo,text-generation"
coder3101/Qwen3-VL-32B-Instruct-heretic-v2,code,code,image-text-to-text,32.0,,19.42,65.5,False,True,11243,10,False,False,transformers,"transformers,safetensors,qwen3_vl,image-text-to-text,heretic"
Myric/KAT-Coder-V2.5-Dev-MTP-APEX-GGUF,code,code,text-generation,27.5,,16.9,56.5,False,True,11221,9,True,True,gguf,"gguf,safetensors,qwen3_5_moe,moe,apex"
Jackrong/Qwopus3.5-9B-Coder,code,code,image-text-to-text,9.0,,6.54,19.5,True,True,11204,42,False,False,transformers,"transformers,safetensors,qwen3_5,image-text-to-text,text-generation-inference"
mlx-community/Qwen3-Coder-30B-A3B-Instruct-4bit,code,code,text-generation,30.0,3.0,18.3,61.5,False,True,10868,38,True,False,mlx,"mlx,safetensors,qwen3_moe,text-generation,conversational"
HuggingFaceTB/SmolLM2-1.7B-Instruct-GGUF,edge-small,edge-small,text-generation,1.7,,2.45,4.9,True,True,10478,52,False,True,transformers,"transformers,gguf,llama-cpp,gguf-my-repo,text-generation"
LiquidAI/LFM2.5-Embedding-350M,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,10445,157,False,False,sentence-transformers,"sentence-transformers,safetensors,lfm2,liquid,lfm2.5"
NeuML/bioclinical-modernbert-base-embeddings,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,10416,11,False,False,sentence-transformers,"sentence-transformers,safetensors,modernbert,feature-extraction,sentence-similarity"
jinaai/jina-embeddings-v4-vllm-retrieval,embedding,embedding,visual-document-retrieval,6.5,,5.14,14.5,True,True,10392,32,False,False,transformers,"transformers,safetensors,qwen2_5_vl,image-text-to-text,vidore"
bartowski/SmolLM2-1.7B-Instruct-GGUF,edge-small,edge-small,text-generation,1.7,,2.45,4.9,True,True,10175,22,False,True,,"gguf,text-generation,en,base_model:HuggingFaceTB/SmolLM2-1.7B-Instruct,base_model:quantized:HuggingFaceTB/SmolLM2-1.7B-Instruct"
bartowski/SmolLM2-360M-Instruct-GGUF,edge-small,edge-small,text-generation,7,,5.42,15.5,True,True,10115,5,False,True,,"gguf,text-generation,en,base_model:HuggingFaceTB/SmolLM2-360M-Instruct,base_model:quantized:HuggingFaceTB/SmolLM2-360M-Instruct"
mlx-community/Qwen3-Embedding-0.6B-8bit,embedding,embedding,feature-extraction,0.6,,1.84,2.7,True,True,10061,2,False,False,mlx,"mlx,safetensors,qwen3,sentence-similarity,feature-extraction"
mudler/Qwopus3.6-35B-A3B-Coder-APEX-GGUF,code,code,,35.0,3.0,21.1,71.5,False,True,10019,2,True,True,,"gguf,quantized,apex,moe,mixture-of-experts"
jashepp/Ornith-1.5-35B-A3B-MXFP4_MOE_Hybrid-Imatrix-GGUF,moe-split,moe-split,text-generation,35.0,3.0,21.1,71.5,False,True,9959,7,True,True,transformers,"transformers,gguf,qwen,qwen3,qwen3.5"
bartowski/Yi-Coder-1.5B-Chat-GGUF,code,code,text-generation,1.5,,2.34,4.5,True,True,9784,4,False,True,,"gguf,text-generation,base_model:01-ai/Yi-Coder-1.5B-Chat,base_model:quantized:01-ai/Yi-Coder-1.5B-Chat,license:apache-2.0"
bartowski/Qwen2.5-Coder-32B-Instruct-abliterated-GGUF,code,code,text-generation,32.0,,19.42,65.5,False,True,9712,49,False,True,,"gguf,code,codeqwen,chat,qwen"
coder3101/Qwen3.5-27B-heretic,code,code,image-text-to-text,27.0,,16.62,55.5,False,True,9671,73,False,False,transformers,"transformers,safetensors,qwen3_5,image-text-to-text,heretic"
01-ai/Yi-Coder-9B-Chat,code,code,text-generation,9.0,,6.54,19.5,True,True,9563,215,False,False,transformers,"transformers,safetensors,llama,text-generation,conversational"
asmanovlev/veriloop-coder-e1-heretic-i1-GGUF,code,code,text-generation,27.5,,16.9,56.5,False,True,9384,0,False,True,,"gguf,imatrix,abliterated,qwen3.6,coding"
unsloth/Qwen2.5-Coder-14B-Instruct-128K-GGUF,code,code,,14.0,,9.34,29.5,True,True,9248,49,False,True,transformers,"transformers,gguf,qwen2,unsloth,code"
DavidAU/Llama-3.2-8X4B-MOE-V2-Dark-Champion-Instruct-uncensored-abliterated-21B-GGUF,moe-split,moe-split,text-generation,4.0,,3.74,9.5,True,True,9199,145,True,True,,"gguf,mixture of experts,moe,8x4B,8 experts"
QuantFactory/SmolLM-135M-GGUF,edge-small,edge-small,,7,,5.42,15.5,True,True,9184,6,False,True,transformers,"transformers,gguf,en,dataset:HuggingFaceTB/smollm-corpus,license:apache-2.0"
guell00/VELUM-Coder,code,code,,11.0,,7.66,23.5,True,True,9167,4,False,True,,"safetensors,gguf,coder,code,programmer"
RedHatAI/Qwen2.5-Coder-7B-Instruct-FP8-dynamic,code,code,,7.0,,5.42,15.5,True,True,9023,0,False,False,,"safetensors,qwen2,compressed-tensors,region:us"
zeroentropy/zembed-1-embedding,embedding,embedding,feature-extraction,6.5,,5.14,14.5,True,True,8953,128,False,False,sentence-transformers,"sentence-transformers,safetensors,qwen3,finance,legal"
mradermacher/KAT-Coder-V2.5-Dev-GGUF,code,code,,27.5,,16.9,56.5,False,True,8881,1,True,True,transformers,"transformers,gguf,code,agent,agentic-coding"
cyankiwi/Qwen3-Coder-Next-AWQ-4bit,code,code,text-generation,11.0,,7.66,23.5,True,True,8817,31,False,False,transformers,"transformers,safetensors,qwen3_next,text-generation,conversational"
AIOpsInSpace/Qwen2.5-Coder-14B-Instruct-Uncensored-Patched,code,code,text-generation,14.0,,9.34,29.5,True,True,8797,4,False,True,,"gguf,text-generation,code,coding-assistant,qwen2.5-coder"
HuggingFaceTB/SmolLM2-360M-Instruct-GGUF,edge-small,edge-small,,7,,5.42,15.5,True,True,8528,52,False,True,transformers,"transformers,gguf,llama-cpp,gguf-my-repo,en"
01-ai/Yi-Coder-9B,code,code,text-generation,9.0,,6.54,19.5,True,True,8435,46,False,False,transformers,"transformers,safetensors,llama,text-generation,arxiv:2403.04652"
robbyant/lingbot-video-moe-30b-a3b,moe-split,moe-split,,35.0,,21.1,71.5,False,True,8351,132,False,False,diffusers,"diffusers,safetensors,license:apache-2.0,diffusers:LingBotVideoPipeline,region:us"
pipizhao/SkillRouter-Embedding-0.6B,embedding,embedding,feature-extraction,0.6,,1.84,2.7,True,True,8309,7,False,False,transformers,"transformers,safetensors,qwen3,feature-extraction,embedding"
rombodawg/rombos_Replete-Coder-Llama3-8B,code,code,text-generation,8.0,,5.98,17.5,True,True,8268,4,False,False,transformers,"transformers,safetensors,llama,text-generation,text-generation-inference"
vijil/vijil_dome_prompt_injection_detection,security,security,,7,,5.42,15.5,True,True,8237,2,False,False,,"safetensors,modernbert,injection,security,llm"
invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,code,code,text-generation,10.7,,7.49,22.9,True,True,8201,0,False,False,transformers,"transformers,safetensors,llama,text-generation,merge"
jsfs11/MixtureofMerges-MoE-4x7b-v4,moe-split,moe-split,text-generation,35.0,,21.1,71.5,False,True,8166,4,True,False,transformers,"transformers,safetensors,mixtral,text-generation,moe"
CultriX/NeuralMona_MoE-4x7B,moe-split,moe-split,text-generation,7.0,,5.42,15.5,True,True,8159,0,True,False,transformers,"transformers,safetensors,mixtral,text-generation,moe"
jsfs11/MixtureofMerges-MoE-4x7b-v5,moe-split,moe-split,text-generation,35.0,,21.1,71.5,False,True,8158,1,True,False,transformers,"transformers,safetensors,mixtral,text-generation,moe"
MaziyarPanahi/Calme-4x7B-MoE-v0.1,moe-split,moe-split,text-generation,7.0,,5.42,15.5,True,True,8151,2,True,False,transformers,"transformers,safetensors,mixtral,text-generation,generated_from_trainer"
MaziyarPanahi/Calme-4x7B-MoE-v0.2,moe-split,moe-split,text-generation,7.0,,5.42,15.5,True,True,8148,3,True,False,transformers,"transformers,safetensors,mixtral,text-generation,generated_from_trainer"
rombodawg/Everyone-Coder-4x7b-Base,code,code,text-generation,27.5,,16.9,56.5,False,True,8132,42,True,False,transformers,"transformers,safetensors,mixtral,text-generation,merge"
jinaai/jina-embeddings-v5-omni-nano,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,8102,40,False,False,transformers,"transformers,safetensors,jina_embeddings_v5_omni,feature-extraction,embedding"
huihui-ai/Huihui-Qwen3-Coder-30B-A3B-Instruct-abliterated,code,code,text-generation,30.0,3.0,18.3,61.5,False,True,8080,46,True,False,transformers,"transformers,safetensors,qwen3_moe,text-generation,abliterated"
rombodawg/rombos_Replete-Coder-Instruct-8b-Merged,code,code,,11.0,,7.66,23.5,True,True,8017,2,False,False,,"safetensors,llama,license:apache-2.0,model-index,region:us"
chenyumo/moziAI-35B-A3B-MOE-MTP-Uncensored,moe-split,moe-split,text-generation,35.0,3.0,21.1,71.5,False,True,7999,5,True,True,llama-cpp,"llama-cpp,gguf,MoE,financial-llm,MoziSmartBit"
mlx-community/gemma-4-12b-coder-fable5-composer2.5-4bit,code,code,text-generation,11.0,,7.66,23.5,True,True,7993,57,False,False,mlx,"mlx,safetensors,gemma4_unified,image-text-to-text,gemma4"
mradermacher/Qwen3.8-Whittle-MoE-27B-A17.8B-GGUF,moe-split,moe-split,,27.0,17.8,16.62,55.5,False,True,7841,10,True,True,transformers,"transformers,gguf,moe,mixture-of-experts,research-preview"
jinaai/jina-embeddings-v2-base-es,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,7721,36,False,False,sentence-transformers,"sentence-transformers,pytorch,onnx,safetensors,bert"
Qwen/Qwen2.5-Coder-32B-Instruct-GPTQ-Int4,code,code,text-generation,32.0,,19.42,65.5,False,True,7644,24,False,False,transformers,"transformers,safetensors,qwen2,text-generation,code"
lmstudio-community/Qwen2.5-Coder-1.5B-Instruct-GGUF,code,code,text-generation,1.5,,2.34,4.5,True,True,7596,4,False,True,transformers,"transformers,gguf,code,codeqwen,chat"
ggml-org/SmolLM3-3B-GGUF,edge-small,edge-small,,3.0,,3.18,7.5,True,True,7565,68,False,True,,"gguf,en,fr,es,it"
Salesforce/SFR-Embedding-Code-400M_R,embedding,embedding,feature-extraction,1.55,,2.37,4.6,True,True,7311,36,False,False,sentence-transformers,"sentence-transformers,onnx,safetensors,new,feature-extraction"
mradermacher/Qwen3-Coder-30B-A3B-Instruct-GGUF,code,code,,30.0,3.0,18.3,61.5,False,True,7308,2,True,True,transformers,"transformers,gguf,en,base_model:Qwen/Qwen3-Coder-30B-A3B-Instruct,base_model:quantized:Qwen/Qwen3-Coder-30B-A3B-Instruct"
BlossomsAI/Qwen2.5-Coder-7B-Instruct-Uncensored-GGUF,code,code,,7.0,,5.42,15.5,True,True,7285,13,False,True,,"gguf,code,chat,uncensored,en"
dangvantuan/vietnamese-embedding,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,7225,56,False,False,sentence-transformers,"sentence-transformers,onnx,safetensors,roberta,feature-extraction"
HuggingFaceTB/SmolLM-1.7B-Instruct,edge-small,edge-small,text-generation,1.7,,2.45,4.9,True,True,7218,120,False,False,transformers,"transformers,onnx,safetensors,llama,text-generation"
DavidAU/Qwen3-Zero-Coder-Reasoning-V2-0.8B-NEO-EX-GGUF,code,code,text-generation,0.8,,1.95,3.1,True,True,7181,34,False,True,,"gguf,merge,programming,code generation,code"
HuggingFaceTB/SmolLM3-3B-checkpoints,edge-small,edge-small,,3.0,,3.18,7.5,True,True,7098,25,False,False,transformers,"transformers,en,fr,es,it"
jica98/qwen3.5-9B-super-coder,code,code,,9.0,,6.54,19.5,True,True,6990,10,False,True,,"gguf,qwen3_5,llama.cpp,unsloth,vision-language-model"
drawais/Qwen3-Embedding-8B-AWQ-INT4,embedding,embedding,text-generation,8.0,,5.98,17.5,True,True,6955,4,False,False,transformers,"transformers,safetensors,qwen3,text-generation,quantized"
coder3101/gemma-4-31B-it-heretic,code,code,image-text-to-text,31.0,,18.86,63.5,False,True,6919,73,False,False,transformers,"transformers,safetensors,gemma4,image-text-to-text,heretic"
DavidAU/DeepSeek-MOE-4X8B-R1-Distill-Llama-3.1-Deep-Thinker-Uncensored-24B-GGUF,moe-split,moe-split,text-generation,8.0,,5.98,17.5,True,True,6727,33,True,True,,"gguf,mixture of experts,reasoning,thinking,thoughts"
Intel/Qwen3-Coder-Next-int4-AutoRound,code,code,text-generation,11.0,,7.66,23.5,True,True,6684,40,False,False,,"safetensors,qwen3_next,text-generation,conversational,arxiv:2309.05516"
emillykkejensen/EmbeddingGemma-Scandi-300m,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,6663,2,False,False,sentence-transformers,"sentence-transformers,safetensors,gemma3_text,sentence-similarity,feature-extraction"
nvidia/Cosmos-Embed1-448p-anomaly-detection,log-anomaly,log-anomaly,video-classification,7,,5.42,15.5,True,True,6630,11,False,False,cosmos,"cosmos,safetensors,cosmos-embed1,nvidia,video-text-retrieval"
HuggingFaceTB/SmolLM-360M,edge-small,edge-small,text-generation,7,,5.42,15.5,True,True,6516,72,False,False,transformers,"transformers,onnx,safetensors,llama,text-generation"
TheBloke/deepseek-coder-1.3b-base-GGUF,code,code,,1.75,,2.48,5.0,True,True,6472,9,False,True,transformers,"transformers,gguf,deepseek,base_model:deepseek-ai/deepseek-coder-1.3b-base,base_model:quantized:deepseek-ai/deepseek-coder-1.3b-base"
RedHatAI/Qwen2.5-Coder-32B-Instruct-FP8-dynamic,code,code,,32.0,,19.42,65.5,False,True,6332,0,False,False,,"safetensors,qwen2,compressed-tensors,region:us"
Lajavaness/bilingual-embedding-small,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,6084,7,False,False,sentence-transformers,"sentence-transformers,safetensors,bilingual,feature-extraction,sentence-similarity"
llmfan46/gemma-4-12B-coder-fable5-composer2.5-v1-uncensored-heretic-GGUF,code,code,text-generation,12.0,,8.22,25.5,True,True,6072,40,False,True,transformers,"transformers,gguf,gemma4,coding,code"
Abiray/KAT-Coder-V2.5-Dev-Imatrix-GGUF,code,code,text-generation,27.5,,16.9,56.5,False,True,6054,7,True,True,gguf,"gguf,code,agent,agentic-coding,moe"
bartowski/Qwen2.5-Coder-1.5B-Instruct-abliterated-GGUF,code,code,text-generation,1.5,,2.34,4.5,True,True,6020,3,False,True,,"gguf,chat,abliterated,uncensored,text-generation"
gbuzhf/KAT-Coder-V2.5-Dev-REAP-205E-MTP-GGUF,code,code,text-generation,27.5,,16.9,56.5,False,True,5673,0,True,True,gguf,"gguf,moe,pruned,reap,expert-pruning"
ramblingpolymath/Qwen3-Coder-30B-A3B-Instruct-W8A8,code,code,text-generation,30.0,3.0,18.3,61.5,False,True,5644,3,True,False,transformers,"transformers,safetensors,qwen3_moe,text-generation,quantized"
RedHatAI/embeddinggemma-300m,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,5634,1,False,False,sentence-transformers,"sentence-transformers,pytorch,tf,rust,onnx"
mlx-community/Qwen3-Embedding-4B-4bit-DWQ,embedding,embedding,feature-extraction,4.0,,3.74,9.5,True,True,5577,12,False,False,mlx,"mlx,safetensors,qwen3,text-generation,transformers"
jashepp/Ornith-1.0-35B-A3B-MXFP4_MOE_Hybrid-Imatrix-GGUF,moe-split,moe-split,text-generation,35.0,3.0,21.1,71.5,False,True,5575,16,True,True,transformers,"transformers,gguf,qwen,qwen3,qwen3.5"
DmitryDB/Qwen3.6-35B-A3B-Heretic-MOE-v3,moe-split,moe-split,image-text-to-text,35.0,3.0,21.1,71.5,False,True,5486,0,True,True,transformers,"transformers,gguf,qwen3.6,moe,multimodal"
unsloth/Qwen2.5-Coder-14B-Instruct-GGUF,code,code,,14.0,,9.34,29.5,True,True,5473,14,False,True,transformers,"transformers,gguf,unsloth,code,qwen"
projectj/Instinct-Python-Coder-Gemma4-12B-KimiK3,code,code,text-generation,12.0,,8.22,25.5,True,True,5442,7,False,True,,"gguf,llama.cpp,gemma,python,code"
majentik/Qwen3-Embedding-8B-GGUF-Q4_K_M,embedding,embedding,feature-extraction,8.0,,5.98,17.5,True,True,5296,0,False,True,gguf,"gguf,llama-cpp,embeddings,sentence-similarity,feature-extraction"
mradermacher/Qwen3-VL-Embedding-8B-GGUF,embedding,embedding,,8.0,,5.98,17.5,True,True,5282,7,False,True,transformers,"transformers,gguf,sentence-transformers,multimodal embedding,qwen"
bartowski/Qwen2.5.1-Coder-7B-Instruct-GGUF,code,code,text-generation,7.0,,5.42,15.5,True,True,5280,124,False,True,,"gguf,code,codeqwen,chat,qwen"
MoeTheGreat/Qwen3.8-27B-heretic-ara-Q6_K-GGUF,moe-split,moe-split,text-generation,27.0,,16.62,55.5,False,True,5271,1,False,True,llama.cpp,"llama.cpp,gguf,qwen3_5,q6_k,text-generation"
mlc-ai/SmolLM2-135M-Instruct-q0f16-MLC,edge-small,edge-small,,7,,5.42,15.5,True,True,5206,0,False,False,mlc-llm,"mlc-llm,web-llm,base_model:HuggingFaceTB/SmolLM2-135M-Instruct,base_model:quantized:HuggingFaceTB/SmolLM2-135M-Instruct,region:us"
protectai/deberta-v3-small-prompt-injection-v2,security,security,text-classification,7,,5.42,15.5,True,True,5143,8,False,False,transformers,"transformers,onnx,safetensors,deberta-v2,text-classification"
mradermacher/Carnice-Qwen3.6-MoE-35B-A3B-i1-GGUF,moe-split,moe-split,,35.0,3.0,21.1,71.5,False,True,5085,8,True,True,transformers,"transformers,gguf,qwen3.6,moe,hermes"
JackAgentLead/Jack-3.8-27B-Coder-16GB-VRAM,code,code,text-generation,27.0,,16.62,55.5,False,True,5069,43,False,True,llama.cpp,"llama.cpp,gguf,27b,jack,jack-xml"
unsloth/Qwen2.5-Coder-32B-Instruct-128K-GGUF,code,code,,32.0,,19.42,65.5,False,True,4967,81,False,True,transformers,"transformers,gguf,qwen2,unsloth,code"
hotchpotch/bekko-embedding-v1-a8m,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,4947,15,False,False,sentence-transformers,"sentence-transformers,onnx,safetensors,openvino,modernbert"
lmstudio-community/Qwen2.5-Coder-7B-Instruct-MLX-8bit,code,code,text-generation,7.0,,5.42,15.5,True,True,4942,1,False,False,mlx,"mlx,safetensors,qwen2,code,codeqwen"
mlx-community/KAT-Coder-V2.5-Dev-OptiQ-4bit,code,code,text-generation,27.5,,16.9,56.5,False,True,4896,17,True,False,mlx,"mlx,safetensors,qwen3_5_moe,optiq,code"
sentence-transformers/embeddinggemma-300m-medical,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,4797,51,False,False,sentence-transformers,"sentence-transformers,safetensors,gemma3_text,sentence-similarity,feature-extraction"
TheBloke/deepseek-coder-33B-base-GGUF,code,code,,33.0,,19.98,67.5,False,True,4784,9,False,True,transformers,"transformers,gguf,deepseek,base_model:deepseek-ai/deepseek-coder-33b-base,base_model:quantized:deepseek-ai/deepseek-coder-33b-base"
ggml-org/Qwen2.5-Coder-1.5B-Q8_0-GGUF,code,code,text-generation,1.5,,2.34,4.5,True,True,4746,21,False,True,transformers,"transformers,gguf,code,qwen,qwen-coder"
bartowski/Qwen2.5-Coder-14B-GGUF,code,code,text-generation,14.0,,9.34,29.5,True,True,4720,19,False,True,,"gguf,code,qwen,qwen-coder,codeqwen"
unsloth/Qwen2.5-Coder-0.5B-Instruct-bnb-4bit,code,code,text-generation,0.5,,1.78,2.5,True,True,4679,4,False,False,transformers,"transformers,safetensors,qwen2,text-generation,unsloth"
CATIE-AQ/camembert-base-embedding,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,4656,0,False,False,sentence-transformers,"sentence-transformers,safetensors,camembert,sentence-similarity,fr"
mradermacher/SmolLM2-1.7B-Instruct-Uncensored-GGUF,edge-small,edge-small,,1.7,,2.45,4.9,True,True,4626,6,False,True,transformers,"transformers,gguf,en,base_model:thirdeyeai/SmolLM2-1.7B-Instruct-Uncensored,base_model:quantized:thirdeyeai/SmolLM2-1.7B-Instruct-Uncensored"
LiquidAI/LFM2.5-Embedding-350M-GGUF,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,4521,38,False,True,sentence-transformers,"sentence-transformers,gguf,liquid,lfm2,lfm2.5"
stefancosma/Qwen2.5-Coder-7B-Instruct-Q4_K_M-GGUF,code,code,text-generation,7.0,,5.42,15.5,True,True,4498,5,False,True,transformers,"transformers,gguf,code,codeqwen,chat"
lmstudio-community/SmolLM2-1.7B-Instruct-GGUF,edge-small,edge-small,text-generation,1.7,,2.45,4.9,True,True,4469,6,False,True,,"gguf,text-generation,en,base_model:HuggingFaceTB/SmolLM2-1.7B-Instruct,base_model:quantized:HuggingFaceTB/SmolLM2-1.7B-Instruct"
mudler/Qwen3-Coder-30B-APEX-GGUF,code,code,,30.0,,18.3,61.5,False,True,4449,15,True,True,,"gguf,quantized,apex,moe,mixture-of-experts"
mradermacher/Parable-SmolLM3-3B-Claude-Fable-5-i1-GGUF,edge-small,edge-small,,3.0,,3.18,7.5,True,True,4435,1,False,True,transformers,"transformers,gguf,safetensors,qlora,agentic"
unsloth/Qwen2.5-Coder-32B-Instruct-bnb-4bit,code,code,text-generation,32.0,,19.42,65.5,False,True,4426,7,False,False,transformers,"transformers,safetensors,qwen2,text-generation,unsloth"
unsloth/Qwen3-Embedding-0.6B,embedding,embedding,feature-extraction,0.6,,1.84,2.7,True,True,4356,11,False,False,sentence-transformers,"sentence-transformers,safetensors,qwen3,text-generation,transformers"
lmstudio-community/Qwen2.5-Coder-32B-Instruct-GGUF,code,code,text-generation,32.0,,19.42,65.5,False,True,4355,6,False,True,,"gguf,code,codeqwen,chat,qwen"
unsloth/Qwen3-Coder-30B-A3B-Instruct,code,code,text-generation,30.0,3.0,18.3,61.5,False,True,4275,28,True,False,transformers,"transformers,safetensors,qwen3_moe,text-generation,unsloth"
mudler/Carnice-MoE-35B-A3B-APEX-GGUF,moe-split,moe-split,,35.0,3.0,21.1,71.5,False,True,4175,13,True,True,,"gguf,quantized,apex,moe,mixture-of-experts"
Intel/Qwen3-Coder-30B-A3B-Instruct-int4-AutoRound,code,code,,30.0,3.0,18.3,61.5,False,True,4161,9,True,False,,"safetensors,qwen3_moe,arxiv:2309.05516,base_model:Qwen/Qwen3-Coder-30B-A3B-Instruct,base_model:quantized:Qwen/Qwen3-Coder-30B-A3B-Instruct"
bartowski/Yi-Coder-9B-Chat-GGUF,code,code,text-generation,9.0,,6.54,19.5,True,True,4152,19,False,True,transformers,"transformers,gguf,text-generation,base_model:01-ai/Yi-Coder-9B-Chat,base_model:quantized:01-ai/Yi-Coder-9B-Chat"
bartowski/granite-embedding-107m-multilingual-GGUF,embedding,embedding,text-generation,1.55,,2.37,4.6,True,True,4114,5,False,True,,"gguf,language,granite,embeddings,multilingual"
aisingapore/SEA-LION-E5-Embedding-600M,embedding,embedding,,1.55,,2.37,4.6,True,True,4107,2,False,False,,"safetensors,xlm-roberta,en,id,jv"
bartowski/SmolLM-1.7B-Instruct-v0.2-GGUF,edge-small,edge-small,text-generation,1.7,,2.45,4.9,True,True,4097,4,False,True,transformers,"transformers,gguf,alignment-handbook,trl,sft"
unsloth/Qwen2.5-Coder-7B-Instruct-GGUF,code,code,,7.0,,5.42,15.5,True,True,4087,16,False,True,transformers,"transformers,gguf,unsloth,code,qwen"
kwisschen/qwen3-embedding-0.6b-patent-oa-rejections,embedding,embedding,sentence-similarity,1.55,,2.37,4.6,True,True,4044,0,False,False,sentence-transformers,"sentence-transformers,safetensors,qwen3,patent,legal-ai"
mradermacher/gemma-4-12B-coder-fable5-composer2.5-v1-bf16-i1-GGUF,code,code,,12.0,,8.22,25.5,True,True,4008,2,False,True,transformers,"transformers,gguf,gemma4,coding,code"
unsloth/SmolLM3-3B-GGUF,edge-small,edge-small,,3.0,,3.18,7.5,True,True,3984,28,False,True,transformers,"transformers,gguf,unsloth,en,fr"
